prod_name,prod_category,prod_price
롯데)가나마일드초콜릿70g,초콜릿,2000
코카)태양의마테차P500ml,차,1400
동아)모닝케어레이디병100ml,건강음료,4500
해피바스)로즈바디워시,미용용품,5000
46cm)초극세모칫솔,생활용품,3500
메디안치석케어치약,생활용품,4500
메디안센서티브칫솔,생활용품,3000
2080)칫솔,생활용품,2600
2080)치약,생활용품,2900
엘라스틴퍼퓸샴푸,생활용품,9900
페리오)토탈7치약,생활용품,3500
페리오)이지클리닉칫솔,생활용품,1900
엘지)샤프란향기탈취제,생활용품,3000
뉴페브리즈)다우니370ml,생활용품,7600
동서)토블론밀크초콜릿35g,초콜릿,1500
화이트)시크릿홀울날중4입,위생용품,1600
오랄비후레쉬칫솔,생활용품,1800
동아)오란씨파인애플캔250,탄산음료,1000
좋은)순면울날대16입N,위생용품,8900
좋은)순면울날중18입N,위생용품,8900
바디)볼록맞춤울날중4입,위생용품,1550
바디)순간흡수울날중4입,위생용품,1550
귀애랑)울날중4입,위생용품,2000
미쟝센)데미지샴푸,생활용품,12500
미쟝센)데미지린스,생활용품,12500
엘지)테크750g,생활용품,4800
오가니스트)샴푸200ml,생활용품,6000
오가니스트)린스200ml,생활용품,6000
엘라스틴)실크린스400ml,생활용품,9900
엘라스틴)실크샴푸400ml,생활용품,9900
귀애랑)울날중18입,위생용품,8200
46cm)쿨민트치약,생활용품,3500
화이트)입는오버나이트2입,위생용품,4000
코카)씨그램라임P350ml,탄산음료,1300
바디)내몸에순한면대16입,위생용품,7900
바디)내몸에순한면중18입,위생용품,7900
바디)순면중3입+O/N1입,위생용품,2400
려)함빛린스400g,생활용품,12500
려)함빛샴푸400g,생활용품,12500
롯데)키세스밀크52g,초콜릿,2000
롯데)키세스쿠앤크52g,초콜릿,2000
크리오)뉴미세모칫솔,생활용품,2000
오랄비)초미세모칫솔,생활용품,2900
엘라스틴)스프레이200ml,미용용품,6500
엘라스틴)하드왁스80g,미용용품,8900
엘라스틴)클레이왁스80g,미용용품,8900
해피바스)당김제로매직폼,미용용품,11000
좋은)울날중4입N,위생용품,1800
좋은)슬날수퍼롱4입N,위생용품,3600
네슬레)킷캣오리지널,초콜릿,1500
네슬레)킷캣초콜릿그린티,초콜릿,1500
네슬레)킷캣초콜릿다크,초콜릿,1500
내몸에순한라이너일반28입,위생용품,4000
로아커)다크노아초콜릿50g,초콜릿,2500
로아커)밀크초콜릿55g,초콜릿,2500
엘지)순수물티슈70매,위생용품,3500
로아커)화이트초콜릿50g,초콜릿,2500
터치3)일회용면도기,생활용품,750
미성)티롤모찌초코녹차,초콜릿,2500
미성)티롤모찌초코콩고물,초콜릿,2500
동아)오란씨깔라만시캔,탄산음료,1000
로아카)바닐라웨하스,과자,1500
로아카)카카오웨하스,과자,1500
푸르밀)바나나킥우유300ml,유제품,1500
코카)골드피크티P470ml,차,1800
닥터마밍)아기물티슈20매,위생용품,2000
좋은)오가닉슬날중14입,위생용품,7300
좋은)오가닉슬날대14입,위생용품,8400
광동)비타500젤리,젤리,1200
푸르밀)초코바나나킥우유300ml,유제품,1500
오랄비)벨벳잇몸케어,생활용품,4500
네슬레)네스퀵초코웨하스,초콜릿,1200
다우니)퍼퓸블랙1L,생활용품,9900
돌)스위티오파인애플바,아이스크림,2000
롯데)가나초코아이스230ml,아이스크림,1200
돌)스위티오바나나바,아이스크림,2000
좋은)순면롱라이너18입,위생용품,3900
순수한면)제로순면대14입,위생용품,8200
순수한면)제로순면중16입,위생용품,8200
코카)씨그램레몬P350ml,탄산음료,1300
가그린)라임100ml,생활용품,1700
일화)맥콜P1.5L,탄산음료,2500
바디)내몸에순한면중4입,위생용품,2000
일화)미콜캔250ml,탄산음료,1200
CJ)흑삼한뿌리병,건강음료,7000
서울)헛개초코밀크140ml,유제품,1800
농심)츄파춥스라이언젤리,젤리,1800
오뚜기)카카오닙스밤무스,즉석식품,3500
오뚜기)코코넛단호박무스,즉석식품,3500
온더바디)레몬클렌징폼,미용용품,4900
페리오)컬러온칫솔,생활용품,2900
